tag,text,xpath
a,The Science,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[4]/a
a,Log in,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[4]/div/div/a
h3,Thanks for subscribing!,/html/body/div[1]/div/div[2]/div/div/div/div/div/div/h3
h1,Shop Scientifically Backed Skincare,/html/body/div[1]/div/main/div/section[1]/div/div[1]/h1
h2,Shop By,/html/body/div[1]/div/main/div/section[1]/div/div[2]/div/h2
a,Shop All,/html/body/div[1]/div/main/div/section[1]/div/div[2]/nav/a[1]
a,Anti-Aging,/html/body/div[1]/div/main/div/section[1]/div/div[2]/nav/a[2]
a,Anti-Acne,/html/body/div[1]/div/main/div/section[1]/div/div[2]/nav/a[3]
a,Skincare Tools,/html/body/div[1]/div/main/div/section[1]/div/div[2]/nav/a[4]
a,Topicals,/html/body/div[1]/div/main/div/section[1]/div/div[2]/nav/a[5]
a,Accessories,/html/body/div[1]/div/main/div/section[1]/div/div[2]/nav/a[6]
h2,Skincare Tools,/html/body/div[1]/div/main/div/section[2]/header/h2
a,"best seller
          



anti-aging



hydration",/html/body/div[1]/div/main/div/section[2]/ul/li[1]/form/a
a,4-in-1 Skincare Wand & Activating Serum Kit,/html/body/div[1]/div/main/div/section[2]/ul/li[1]/form/div/a[2]
h4,4-in-1 Skincare Wand & Activating Serum Kit,/html/body/div[1]/div/main/div/section[2]/ul/li[1]/form/div/a[2]/h4
a,"Trending
          



anti-aging",/html/body/div[1]/div/main/div/section[2]/ul/li[2]/form/a
a,2-in-1 Skincare Mini,/html/body/div[1]/div/main/div/section[2]/ul/li[2]/form/div/a[2]
h4,2-in-1 Skincare Mini,/html/body/div[1]/div/main/div/section[2]/ul/li[2]/form/div/a[2]/h4
a,"Just Launched
          



anti-aging",/html/body/div[1]/div/main/div/section[2]/ul/li[3]/form/a
a,Eye Recovery Pro,/html/body/div[1]/div/main/div/section[2]/ul/li[3]/form/div/a[2]
h4,Eye Recovery Pro,/html/body/div[1]/div/main/div/section[2]/ul/li[3]/form/div/a[2]/h4
a,"Trending
          



anti-aging",/html/body/div[1]/div/main/div/section[2]/ul/li[2]/form/a
a,Neck & Chest Rejuvenating Mask,/html/body/div[1]/div/main/div/section[2]/ul/li[4]/form/div/a[2]
h4,Neck & Chest Rejuvenating Mask,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/div/div/div/div[2]/div[3]/a/div[2]/h4
a,"Back In Stock
          



anti-aging",/html/body/div[1]/div/main/div/section[2]/ul/li[5]/form/a
a,Wrinkle Retreat Light Therapy Face Mask,/html/body/div[1]/div/main/div/section[2]/ul/li[5]/form/div/a[2]
h4,Wrinkle Retreat Light Therapy Face Mask,/html/body/div[1]/div/main/div/section[2]/ul/li[5]/form/div/a[2]/h4
a,"best seller
          



anti-aging",/html/body/div[1]/div/main/div/section[2]/ul/li[6]/form/a
a,4-in-1 Skincare Wand,/html/body/div[1]/div/main/div/section[2]/ul/li[6]/form/div/a[2]
h4,4-in-1 Skincare Wand,/html/body/div[1]/div/main/div/section[2]/ul/li[6]/form/div/a[2]/h4
a,"top rated
          



prevent breakouts



skin clearing",/html/body/div[1]/div/main/div/section[2]/ul/li[7]/form/a
a,3-Minute Pimple Spot Treatment,/html/body/div[1]/div/main/div/section[2]/ul/li[7]/form/div/a[2]
h4,3-Minute Pimple Spot Treatment,/html/body/div[1]/div/main/div/section[2]/ul/li[7]/form/div/a[2]/h4
h2,Topicals,/html/body/div[1]/div/main/div/section[3]/header/h2
a,"New & Improved
          



boost effects



anti-aging",/html/body/div[1]/div/main/div/section[3]/ul/li[1]/form/a
a,Skin Therapy Activating Serum,/html/body/div[1]/div/main/div/section[3]/ul/li[1]/form/div/a[2]
h4,Skin Therapy Activating Serum,/html/body/div[1]/div/main/div/section[3]/ul/li[1]/form/div/a[2]/h4
a,boost effects,/html/body/div[1]/div/main/div/section[3]/ul/li[2]/form/a
a,Renew Complex Activating Serum,/html/body/div[1]/div/main/div/section[3]/ul/li[2]/form/div/a[2]
h4,Renew Complex Activating Serum,/html/body/div[1]/div/main/div/section[3]/ul/li[2]/form/div/a[2]/h4
a,"Clean Skincare
          



skin barrier



hydration",/html/body/div[1]/div/main/div/section[3]/ul/li[3]/form/a
a,Glowing Skin Starter Set,/html/body/div[1]/div/main/div/section[3]/ul/li[3]/form/div/a[2]
h4,Glowing Skin Starter Set,/html/body/div[1]/div/main/div/section[3]/ul/li[3]/form/div/a[2]/h4
a,"skin barrier



hydration",/html/body/div[1]/div/main/div/section[3]/ul/li[4]/form/a
a,Nourishing Moisturizer,/html/body/div[1]/div/main/div/section[3]/ul/li[4]/form/div/a[2]
h4,Nourishing Moisturizer,/html/body/div[1]/div/main/div/section[3]/ul/li[4]/form/div/a[2]/h4
a,"skin barrier



hydration",/html/body/div[1]/div/main/div/section[3]/ul/li[4]/form/a
a,Hydrating Gel Cleanser,/html/body/div[1]/div/main/div/section[3]/ul/li[5]/form/div/a[2]
h4,Hydrating Gel Cleanser,/html/body/div[1]/div/main/div/section[3]/ul/li[5]/form/div/a[2]/h4
a,"skin barrier



hydration",/html/body/div[1]/div/main/div/section[3]/ul/li[4]/form/a
a,Plumping Peptide Serum,/html/body/div[1]/div/main/div/section[3]/ul/li[6]/form/div/a[2]
h4,Plumping Peptide Serum,/html/body/div[1]/div/main/div/section[3]/ul/li[6]/form/div/a[2]/h4
a,"hydration



skin barrier",/html/body/div[1]/div/main/div/section[3]/ul/li[7]/form/a
a,Refreshing Jelly Mist,/html/body/div[1]/div/main/div/section[3]/ul/li[7]/form/div/a[2]
h4,Refreshing Jelly Mist,/html/body/div[1]/div/main/div/section[3]/ul/li[7]/form/div/a[2]/h4
a,Hydrating Sheet Mask,/html/body/div[1]/div/main/div/section[3]/ul/li[8]/form/div/a[2]
h4,Hydrating Sheet Mask,/html/body/div[1]/div/main/div/section[3]/ul/li[8]/form/div/a[2]/h4
h2,Accessories,/html/body/div[1]/div/main/div/section[4]/header/h2
a,Radiant Renewal Skincare Wand Replacement Carrying Case,/html/body/div[1]/div/main/div/section[4]/ul/li[1]/form/div/a[2]
h4,Radiant Renewal Skincare Wand Replacement Carrying Case,/html/body/div[1]/div/main/div/section[4]/ul/li[1]/form/div/a[2]/h4
a,Magnetic Charging Cord Replacement for Radiant Renewal Skincare Wand,/html/body/div[1]/div/main/div/section[4]/ul/li[2]/form/div/a[2]
h4,Magnetic Charging Cord Replacement for Radiant Renewal Skincare Wand,/html/body/div[1]/div/main/div/section[4]/ul/li[2]/form/div/a[2]/h4
h2,Not sure where to start?,/html/body/div[1]/div/main/div/section[5]/div[1]/div[2]/div[2]/div[1]/h2
p,Take our skin quiz to find the perfect products for you,/html/body/div[1]/div/main/div/section[5]/div[1]/div[2]/div[2]/div[1]/p
a,Take The Skin Quiz,/html/body/div[1]/div/main/div/section[5]/div[1]/div[2]/div[2]/div[2]/a
h2,Not sure where to start?,/html/body/div[1]/div/main/div/section[5]/div[1]/div[2]/div[2]/div[1]/h2
p,Take our skin quiz to find the perfect products for you,/html/body/div[1]/div/main/div/section[5]/div[1]/div[2]/div[2]/div[1]/p
a,Take The Skin Quiz,/html/body/div[1]/div/main/div/section[5]/div[1]/div[2]/div[2]/div[2]/a
p,Risk-Free Returns60 Day Free Trial on all orders. If you don't love your results (even after using the items) - contact us for a risk-free return! More details,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[1]/div/div/div/div/div/p
a,More details,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[1]/div/div/div/div/div/p/a
p,SHOP,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[3]/p
a,Skincare Wand,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[3]/div/div/div/ul/li[1]/a
a,Shop All,/html/body/div[1]/div/main/div/section[1]/div/div[2]/nav/a[1]
p,ABOUT,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[4]/p
a,Why Solawave,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[4]/div[1]/ul/li[1]/a
a,About Us,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[4]/div/div/div/ul/li[2]/a
a,Before & Afters,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[3]/a
a,Contact Us,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[4]/div[2]/ul/li[2]/a
p,HELP,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[5]/p
a,FAQs,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[4]/div[1]/ul/li[2]/a
a,Help Center & Support,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[5]/div/div/div/ul/li[2]/a
a,Returns & Refunds,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[5]/div/div/div/ul/li[3]/a
a,Tutorials,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[4]/div[1]/ul/li[3]/a
p,MORE,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[6]/p
a,Skin Quiz - Get 15% Off!,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[6]/div/div/div/ul/li[1]/a
a,Student Discount,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[6]/div/div/div/ul/li[2]/a
a,Blog,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[6]/div/div/div/ul/li[3]/a
p,"The statements on this website have not been evaluated by the FDA. The information provided on this site is not intended to diagnose, treat, cure, or prevent any disease and should not be construed as medical advice. Results may not be typical.",/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[8]/div/div/div/div/div/p
a,Instagram,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[2]/ul/li[1]/a
a,Facebook,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[2]/ul/li[2]/a
a,YouTube,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[2]/ul/li[3]/a
a,Pinterest,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[2]/ul/li[4]/a
a,TikTok,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[2]/ul/li[5]/a
a,Notice of Financial Incentive,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[2]/div[1]/div/div/div/div[2]/a
a,Instagram,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[2]/ul/li[1]/a
a,Facebook,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[2]/ul/li[2]/a
a,YouTube,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[2]/ul/li[3]/a
a,Pinterest,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[2]/ul/li[4]/a
a,TikTok,/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[2]/ul/li[5]/a
p,"40% Off Sitewide Sale40% off all products in our sale collection with code PRIME40 at checkout, excluding the 2-in-1 Skincare Mini. Sale ends Thursday July 18th at midnight.",/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[2]/div[2]/p[1]
p,"The statements on this website have not been evaluated by the FDA. The information provided on this site is not intended to diagnose, treat, cure, or prevent any disease and should not be construed as medical advice. Results may not be typical.",/html/body/div[1]/div/div[4]/footer/div[1]/div/div/div[1]/div[1]/div[8]/div/div/div/div/div/p
a,Terms & Conditions,/html/body/div[1]/div/div[4]/footer/div[2]/div/div/div[3]/ul[1]/li[1]/a
a,Privacy Policy,/html/body/div[1]/div/div[4]/footer/div[2]/div/div/div[3]/ul[1]/li[2]/a
a,Cookie Policy,/html/body/div[1]/div/div[4]/footer/div[2]/div/div/div[3]/ul[1]/li[3]/a
a,California Privacy Notice,/html/body/div[1]/div/div[4]/footer/div[2]/div/div/div[3]/ul[2]/li[1]/a
a,EN,/html/body/div[11]/aside/div/a
a,IT,/html/body/div[11]/aside/ul/li[1]/a
a,DE,/html/body/div[11]/aside/ul/li[2]/a
a,NL,/html/body/div[11]/aside/ul/li[3]/a
a,AR,/html/body/div[11]/aside/ul/li[4]/a
a,FR,/html/body/div[11]/aside/ul/li[5]/a
a,ES,/html/body/div[11]/aside/ul/li[6]/a
a,PT,/html/body/div[11]/aside/ul/li[7]/a
a,JA,/html/body/div[11]/aside/ul/li[8]/a
a,KO,/html/body/div[11]/aside/ul/li[9]/a
a,NO,/html/body/div[11]/aside/ul/li[10]/a
a,ZH,/html/body/div[11]/aside/ul/li[11]/a
a,TR,/html/body/div[11]/aside/ul/li[12]/a
